DATE,GDP,MORTGAGE30US,MSPUS,TLRESCONS,MSACSR,PERMIT,INTDSRUSM193N,EVACANTUSQ176N,CSUSHPISA
1/1/2017,19148.194,4.173076923,313100,529871.3333,5.233333333,1268.666667,1.333333333,17384,187.3716667
1/4/2017,19304.506,3.98,318200,542516,5.266666667,1265.666667,1.583333333,17637,189.6213333
1/7/2017,19561.896,3.883846154,320500,549521.6667,5.733333333,1289,1.75,17684,192.6373333
1/10/2017,19894.75,3.922307692,337900,561319,5.3,1322.333333,1.833333333,16814,195.9763333
1/1/2018,20155.486,4.282307692,331800,579760,5.566666667,1341,2.083333333,17258,199.1546667
1/4/2018,20470.197,4.544615385,315600,581159.3333,5.6,1344.666667,2.333333333,17060,201.4513333
1/7/2018,20687.278,4.566923077,330900,560109.6667,6.433333333,1315.333333,2.583333333,17221,203.6866667
1/10/2018,20819.269,4.784615385,322800,535932.3333,7.066666667,1311.333333,2.833333333,16382,205.6396667
1/1/2019,21013.085,4.373846154,313000,523016.6667,6.366666667,1282.333333,3,16814,206.772
1/4/2019,21272.448,4.010769231,322500,539253,5.833333333,1312.333333,3,17031,208.1416667
1/7/2019,21531.839,3.658461538,318400,565471.6667,5.6,1455.333333,2.75,17038,210.162
1/10/2019,21706.532,3.7,327100,583015.3333,5.533333333,1507,2.25,16113,212.806
1/1/2020,21538.032,3.521538462,329000,616682.3333,5.9,1429.333333,1.583333333,15967,215.638
1/4/2020,19636.731,3.239230769,322600,603744.6667,5.3,1210.666667,0.25,13876,217.239
1/7/2020,21362.428,2.952307692,337500,646601.6667,3.4,1577.666667,0.25,14249,222.6413333
1/10/2020,21704.706,2.760714286,358700,707944.3333,3.866666667,1698.333333,0.25,15446,233.09
1/1/2021,22313.85,2.875833333,369800,753515.6667,4.333333333,1765.666667,0.25,15602,242.267
1/4/2021,23046.934,3.003846154,382600,795501.3333,5.3,1679.333333,0.25,15658,253.814
1/7/2021,23550.42,2.872142857,411200,819745,6.2,1697,,15206,266.831
1/10/2021,24349.121,3.079230769,423600,837069,6.233333333,1816.666667,,14999,277.317
1/1/2022,24740.48,3.822307692,433100,910611,6.233333333,1864,,15166,290.868
1/4/2022,25248.476,5.266153846,449300,947300.3333,8.7,1734.666667,,15286,303.4226667
1/7/2022,25723.941,5.623076923,468000,910346,9.566666667,1610.666667,,15306,301.7263333
1/10/2022,26137.992,6.664615385,479500,870620.6667,9.2,1455.333333,,14554,297.8966667
1/1/2023,26465.865,6.372307692,436800,842559.6667,8.033333333,1424.333333,,15053,297.8966667
